prodid,category,date,sales
PT-84861,Antiflatulent,10/1/2007,44358
PT-84861,Antiflatulent,11/1/2007,68028
PT-84861,Antiflatulent,12/1/2007,27987
PT-85068,Memory Pills,1/1/2007,3006
PT-85068,Memory Pills,2/1/2007,4657
PT-85068,Memory Pills,3/1/2007,4719
PT-85068,Memory Pills,4/1/2007,3454
PT-85068,Memory Pills,5/1/2007,4393
PT-85068,Memory Pills,6/1/2007,7118
PT-85068,Memory Pills,7/1/2007,5939
PT-85068,Memory Pills,8/1/2007,5500
PT-85068,Memory Pills,9/1/2007,6405
PT-85068,Memory Pills,10/1/2007,7300
PT-85068,Memory Pills,11/1/2007,7259
PT-85068,Memory Pills,12/1/2007,3923
PT-86686,Stomach Protectors,1/1/2007,874
PT-86686,Stomach Protectors,2/1/2007,1800
PT-86686,Stomach Protectors,3/1/2007,3048
PT-86686,Stomach Protectors,4/1/2007,1700
PT-86686,Stomach Protectors,5/1/2007,2040
PT-86686,Stomach Protectors,6/1/2007,2512
PT-86686,Stomach Protectors,7/1/2007,1878
PT-86686,Stomach Protectors,8/1/2007,2110
PT-86686,Stomach Protectors,9/1/2007,1272
PT-86686,Stomach Protectors,10/1/2007,2971
PT-86686,Stomach Protectors,11/1/2007,2463
PT-86686,Stomach Protectors,12/1/2007,2228
PT-86926,Vitamins,1/1/2007,12844
PT-86926,Vitamins,2/1/2007,23120
PT-86926,Vitamins,3/1/2007,30000
PT-86926,Vitamins,4/1/2007,28586
PT-86926,Vitamins,5/1/2007,28421
PT-86926,Vitamins,6/1/2007,21366
PT-86926,Vitamins,7/1/2007,30000
PT-86926,Vitamins,8/1/2007,24737
PT-86926,Vitamins,9/1/2007,24328
PT-86926,Vitamins,10/1/2007,28000
PT-86926,Vitamins,11/1/2007,27605
PT-86926,Vitamins,12/1/2007,11825
PT-87064,Calluses Cream,1/1/2007,518
PT-87064,Calluses Cream,2/1/2007,1183
PT-87064,Calluses Cream,3/1/2007,1205
PT-87064,Calluses Cream,4/1/2007,961
PT-87064,Calluses Cream,5/1/2007,1426
PT-87064,Calluses Cream,6/1/2007,1385
PT-87064,Calluses Cream,7/1/2007,1208
PT-87064,Calluses Cream,8/1/2007,997
PT-87064,Calluses Cream,9/1/2007,1586
PT-87064,Calluses Cream,10/1/2007,1065
PT-87064,Calluses Cream,11/1/2007,2495
PT-87064,Calluses Cream,12/1/2007,210
PT-88294,Heart related,1/1/2007,3020
PT-88294,Heart related,2/1/2007,7778
PT-88294,Heart related,3/1/2007,13459
PT-88294,Heart related,4/1/2007,13092
PT-88294,Heart related,5/1/2007,14141
PT-88294,Heart related,6/1/2007,13222
PT-88294,Heart related,7/1/2007,13954
PT-88294,Heart related,8/1/2007,12641
PT-88294,Heart related,9/1/2007,12384
PT-88294,Heart related,10/1/2007,19308
PT-88294,Heart related,11/1/2007,19864
PT-88294,Heart related,12/1/2007,2047
PT-89326,Muscle Relaxing,1/1/2007,2046
PT-89326,Muscle Relaxing,2/1/2007,3296
PT-89326,Muscle Relaxing,3/1/2007,6620
PT-89326,Muscle Relaxing,4/1/2007,4127
PT-89326,Muscle Relaxing,5/1/2007,3186
PT-89326,Muscle Relaxing,6/1/2007,6520
PT-89326,Muscle Relaxing,7/1/2007,3454
PT-89326,Muscle Relaxing,8/1/2007,6309
PT-89326,Muscle Relaxing,9/1/2007,8940
PT-89326,Muscle Relaxing,10/1/2007,7406
PT-89326,Muscle Relaxing,11/1/2007,6369
PT-89326,Muscle Relaxing,12/1/2007,3591
PT-89474,Douche bag,1/1/2007,3572
PT-89474,Douche bag,2/1/2007,4212
PT-89474,Douche bag,3/1/2007,8500
PT-89474,Douche bag,4/1/2007,6544
PT-89474,Douche bag,5/1/2007,5542
PT-89474,Douche bag,6/1/2007,12100
PT-89474,Douche bag,7/1/2007,6777
PT-89474,Douche bag,8/1/2007,7948
PT-89474,Douche bag,9/1/2007,14696
PT-89474,Douche bag,10/1/2007,14156
PT-89474,Douche bag,11/1/2007,17386
PT-89474,Douche bag,12/1/2007,3332
PT-90860,Muscle Relaxing,1/1/2007,5681
PT-90860,Muscle Relaxing,2/1/2007,9851
PT-90860,Muscle Relaxing,3/1/2007,16464
PT-90860,Muscle Relaxing,4/1/2007,10537
PT-90860,Muscle Relaxing,5/1/2007,13742
PT-90860,Muscle Relaxing,6/1/2007,15234
PT-90860,Muscle Relaxing,7/1/2007,11765
PT-90860,Muscle Relaxing,8/1/2007,9147
PT-90860,Muscle Relaxing,9/1/2007,18787
PT-90860,Muscle Relaxing,10/1/2007,13536
PT-90860,Muscle Relaxing,11/1/2007,20104
PT-90860,Muscle Relaxing,12/1/2007,9520
PT-90993,Liver protector,1/1/2007,3132
PT-90993,Liver protector,2/1/2007,5645
PT-90993,Liver protector,3/1/2007,8713
PT-90993,Liver protector,4/1/2007,4098
PT-90993,Liver protector,5/1/2007,7500
PT-90993,Liver protector,6/1/2007,9920
PT-90993,Liver protector,7/1/2007,5600
PT-90993,Liver protector,8/1/2007,10817
PT-90993,Liver protector,9/1/2007,7953
PT-90993,Liver protector,10/1/2007,4798
PT-90993,Liver protector,11/1/2007,6116
PT-90993,Liver protector,12/1/2007,9687
PT-91215,Heart related,1/1/2007,5345
PT-91215,Heart related,2/1/2007,11475
PT-91215,Heart related,3/1/2007,18192
PT-91215,Heart related,4/1/2007,15658
PT-91215,Heart related,5/1/2007,17529
PT-91215,Heart related,6/1/2007,19174
PT-91215,Heart related,7/1/2007,16472
PT-91215,Heart related,8/1/2007,14675
PT-91215,Heart related,9/1/2007,20202
PT-91215,Heart related,10/1/2007,21774
PT-91215,Heart related,11/1/2007,30478
PT-91215,Heart related,12/1/2007,5516
PT-92460,Stomach Protectors,1/1/2007,2874
PT-92460,Stomach Protectors,2/1/2007,10558
PT-92460,Stomach Protectors,3/1/2007,9863
PT-92460,Stomach Protectors,4/1/2007,12032
PT-92460,Stomach Protectors,5/1/2007,14039
PT-92460,Stomach Protectors,6/1/2007,5978
PT-92460,Stomach Protectors,7/1/2007,10713
PT-92460,Stomach Protectors,8/1/2007,8640
PT-92460,Stomach Protectors,9/1/2007,13181
PT-92460,Stomach Protectors,10/1/2007,10700
PT-92460,Stomach Protectors,11/1/2007,20580
PT-92460,Stomach Protectors,12/1/2007,1380
PT-92494,Stomach Protectors,1/1/2007,289
PT-92494,Stomach Protectors,2/1/2007,420
PT-92494,Stomach Protectors,3/1/2007,371
PT-92494,Stomach Protectors,4/1/2007,447
PT-92494,Stomach Protectors,5/1/2007,527
PT-92494,Stomach Protectors,6/1/2007,624
PT-92494,Stomach Protectors,7/1/2007,389
PT-92494,Stomach Protectors,8/1/2007,583
PT-92494,Stomach Protectors,9/1/2007,612
PT-92494,Stomach Protectors,10/1/2007,973
PT-92494,Stomach Protectors,11/1/2007,1035
PT-92494,Stomach Protectors,12/1/2007,366
PT-92791,Stomach Protectors,1/1/2007,1560
PT-92791,Stomach Protectors,2/1/2007,5405
PT-92791,Stomach Protectors,3/1/2007,5514
PT-92791,Stomach Protectors,4/1/2007,2658
PT-92791,Stomach Protectors,5/1/2007,4942
PT-92791,Stomach Protectors,6/1/2007,2761
PT-92791,Stomach Protectors,7/1/2007,6742
PT-92791,Stomach Protectors,8/1/2007,4716
PT-92791,Stomach Protectors,9/1/2007,2145
PT-92791,Stomach Protectors,10/1/2007,3811
PT-92791,Stomach Protectors,11/1/2007,6966
PT-92791,Stomach Protectors,12/1/2007,964
PT-95625,Vitamins,1/1/2007,6522
PT-95625,Vitamins,2/1/2007,4932
PT-95625,Vitamins,3/1/2007,5225
PT-95625,Vitamins,4/1/2007,4400
PT-95625,Vitamins,5/1/2007,7010
PT-95625,Vitamins,6/1/2007,6802
PT-95625,Vitamins,7/1/2007,4210
PT-95625,Vitamins,8/1/2007,4103
PT-95625,Vitamins,9/1/2007,8925
PT-95625,Vitamins,10/1/2007,12302
PT-95625,Vitamins,11/1/2007,3364
PT-95625,Vitamins,12/1/2007,2101
PT-09936,Antiflatulent,1/1/2007,3000
PT-09936,Antiflatulent,2/1/2007,12000
PT-09936,Antiflatulent,3/1/2007,20000
PT-09936,Antiflatulent,4/1/2007,7005
PT-09936,Antiflatulent,5/1/2007,13973
PT-09936,Antiflatulent,6/1/2007,15071
PT-09936,Antiflatulent,7/1/2007,11986
PT-09936,Antiflatulent,8/1/2007,16077
PT-09936,Antiflatulent,9/1/2007,15500
PT-09936,Antiflatulent,10/1/2007,26000
PT-09936,Antiflatulent,11/1/2007,19200
PT-09936,Antiflatulent,12/1/2007,5000
PT-09985,Antiflatulent,1/1/2007,5168
PT-09985,Antiflatulent,2/1/2007,16308
PT-09985,Antiflatulent,3/1/2007,9672
PT-09985,Antiflatulent,4/1/2007,11862
PT-09985,Antiflatulent,5/1/2007,8276
PT-09985,Antiflatulent,6/1/2007,7503
PT-09985,Antiflatulent,7/1/2007,7408
PT-09985,Antiflatulent,8/1/2007,9539
PT-09985,Antiflatulent,9/1/2007,13100
PT-09985,Antiflatulent,10/1/2007,11562
PT-09985,Antiflatulent,11/1/2007,18500
PT-09985,Antiflatulent,12/1/2007,5156
PT-27524,Cough Pills,1/1/2007,5400
PT-27524,Cough Pills,2/1/2007,5500
PT-27524,Cough Pills,3/1/2007,17862
PT-27524,Cough Pills,4/1/2007,9940
PT-27524,Cough Pills,5/1/2007,10526
PT-27524,Cough Pills,6/1/2007,13779
PT-27524,Cough Pills,7/1/2007,8400
PT-27524,Cough Pills,8/1/2007,5633
PT-27524,Cough Pills,9/1/2007,10716
PT-27524,Cough Pills,10/1/2007,27810
PT-27524,Cough Pills,11/1/2007,10504
PT-27524,Cough Pills,12/1/2007,5704
PT-27540,Cough Syrop,1/1/2007,7842
PT-27540,Cough Syrop,2/1/2007,7247
PT-27540,Cough Syrop,3/1/2007,9204
PT-27540,Cough Syrop,4/1/2007,6883
PT-27540,Cough Syrop,5/1/2007,12300
PT-27540,Cough Syrop,6/1/2007,11600
PT-27540,Cough Syrop,7/1/2007,6300
PT-27540,Cough Syrop,8/1/2007,7502
PT-27540,Cough Syrop,9/1/2007,8872
PT-27540,Cough Syrop,10/1/2007,8685
PT-27540,Cough Syrop,11/1/2007,14134
PT-27540,Cough Syrop,12/1/2007,4733
PT-36004,Enema,1/1/2007,15496
PT-36004,Enema,2/1/2007,27192
PT-36004,Enema,3/1/2007,27192
PT-36004,Enema,4/1/2007,40488
PT-36004,Enema,5/1/2007,47437
PT-36004,Enema,6/1/2007,63171
PT-36004,Enema,7/1/2007,32972
PT-36004,Enema,8/1/2007,37894
PT-36004,Enema,9/1/2007,35730
PT-36004,Enema,10/1/2007,45814
PT-36004,Enema,11/1/2007,58860
PT-36004,Enema,12/1/2007,10485
PT-42838,Skin fungus,1/1/2007,2783
PT-42838,Skin fungus,2/1/2007,3941
PT-42838,Skin fungus,3/1/2007,5877
PT-42838,Skin fungus,4/1/2007,3512
PT-42838,Skin fungus,5/1/2007,4409
PT-42838,Skin fungus,6/1/2007,6984
PT-42838,Skin fungus,7/1/2007,3232
PT-42838,Skin fungus,8/1/2007,1724
PT-42838,Skin fungus,9/1/2007,8782
PT-42838,Skin fungus,10/1/2007,3898
